,UniProt,updrs_1_sum
0,O00391,6.0
1,O00533,6.0
2,O00584,6.0
3,O14498,6.0
4,O14773,6.0
5,O14791,6.0
6,O15240,6.0
7,O15394,6.0
8,O43505,6.0
9,O60888,6.0
10,O75144,6.0
11,O75326,6.0
12,O94919,6.0
13,P00441,6.0
14,P00450,6.0
15,P00734,6.0
16,P00736,6.0
17,P00738,6.0
18,P00746,6.0
19,P00747,6.0
20,P00748,6.0
21,P00751,6.0
22,P01008,6.0
23,P01009,6.0
24,P01011,6.0
25,P01019,6.0
26,P01023,6.0
27,P01024,6.0
28,P01031,6.0
29,P01033,6.0
30,P01034,6.0
31,P01042,6.0
32,P01344,6.0
33,P01591,6.0
34,P01608,6.0
35,P01621,6.0
36,P01717,6.0
37,P01833,6.0
38,P01834,6.0
39,P01857,6.0
40,P01859,6.0
41,P01860,6.0
42,P01861,6.0
43,P01876,6.0
44,P01877,6.0
45,P02452,6.0
46,P02647,6.0
47,P02649,6.0
48,P02652,6.0
49,P02655,6.0
50,P02656,6.0
51,P02671,6.0
52,P02675,6.0
53,P02679,6.0
54,P02747,6.0
55,P02748,6.0
56,P02749,6.0
57,P02750,6.0
58,P02751,6.0
59,P02753,6.0
60,P02760,6.0
61,P02763,6.0
62,P02765,6.0
63,P02766,6.0
64,P02768,6.0
65,P02774,6.0
66,P02787,6.0
67,P02790,6.0
68,P02792,6.0
69,P04004,6.0
70,P04075,6.0
71,P04156,6.0
72,P04180,6.0
73,P04196,6.0
74,P04207,6.0
75,P04211,6.0
76,P04216,6.0
77,P04217,6.0
78,P04275,6.0
79,P04433,6.0
80,P05060,6.0
81,P05067,6.0
82,P05090,6.0
83,P05155,6.0
84,P05156,6.0
85,P05408,6.0
86,P05452,6.0
87,P06396,6.0
88,P06454,6.0
89,P06681,6.0
90,P06727,6.0
91,P07195,6.0
92,P07225,6.0
93,P07333,6.0
94,P07339,6.0
95,P07602,6.0
96,P07711,6.0
97,P07858,6.0
98,P07998,6.0
99,P08123,6.0
100,P08133,6.0
101,P08253,6.0
102,P08294,6.0
103,P08493,6.0
104,P08571,6.0
105,P08603,6.0
106,P08637,6.0
107,P08697,6.0
108,P09104,6.0
109,P09486,6.0
110,P09871,6.0
111,P10451,6.0
112,P10643,6.0
113,P10645,6.0
114,P10909,6.0
115,P11277,6.0
116,P12109,6.0
117,P13473,6.0
118,P13521,6.0
119,P13591,6.0
120,P13611,6.0
121,P13671,6.0
122,P13987,6.0
123,P14174,6.0
124,P14314,6.0
125,P14618,6.0
126,P16035,6.0
127,P16070,6.0
128,P16152,6.0
129,P16870,6.0
130,P17174,6.0
131,P17936,6.0
132,P18065,6.0
133,P19652,6.0
134,P19823,6.0
135,P19827,6.0
136,P20774,6.0
137,P20933,6.0
138,P23142,6.0
139,P24592,6.0
140,P25311,6.0
141,P30086,6.0
142,P31997,6.0
143,P32754,6.0
144,P35542,6.0
145,P36222,6.0
146,P36955,6.0
147,P36980,6.0
148,P39060,6.0
149,P40925,6.0
150,P41222,6.0
151,P43121,6.0
152,P43251,6.0
153,P43652,6.0
154,P49908,6.0
155,P51884,6.0
156,P54289,6.0
157,P55290,6.0
158,P61278,6.0
159,P61626,6.0
160,P61769,6.0
161,P61916,6.0
162,P80748,6.0
163,P98160,6.0
164,Q02818,6.0
165,Q06481,6.0
166,Q08380,6.0
167,Q12805,6.0
168,Q12841,6.0
169,Q12907,6.0
170,Q13283,6.0
171,Q13332,6.0
172,Q13449,6.0
173,Q13451,6.0
174,Q13740,6.0
175,Q14118,6.0
176,Q14508,6.0
177,Q14515,6.0
178,Q14624,6.0
179,Q15904,6.0
180,Q16270,6.0
181,Q16610,6.0
182,Q6UXB8,6.0
183,Q6UXD5,6.0
184,Q7Z3B1,6.0
185,Q7Z5P9,6.0
186,Q8IWV7,6.0
187,Q8N2S1,6.0
188,Q8NBJ4,6.0
189,Q8NE71,6.0
190,Q92520,6.0
191,Q92823,6.0
192,Q92876,6.0
193,Q96BZ4,6.0
194,Q96KN2,6.0
195,Q96PD5,6.0
196,Q96S96,6.0
197,Q99435,6.0
198,Q99674,6.0
199,Q99969,6.0
200,Q9BY67,6.0
201,Q9HDC9,6.0
202,Q9NQ79,6.0
203,Q9NYU2,6.0
204,Q9UBR2,6.0
205,Q9UBX5,6.0
206,Q9UHG2,6.0
207,Q9UKV8,6.0
208,Q9Y646,6.0
209,Q9Y6R7,6.0
